Date,DASH/BTC,ETC/BTC,ETH/BTC,LTC/BTC,XMR/BTC,XRP/BTC
2018-04-15 08-AM,0.04501,0.002012,0.0631,0.0159,0.02377,0.000080970
2018-04-15 07-AM,0.04565,0.002014,0.06323,0.0159,0.0238,0.000081180
2018-04-15 06-AM,0.04555,0.002002,0.06334,0.01577,0.02383,0.000080910
2018-04-15 05-AM,0.04516,0.002007,0.06329,0.01578,0.02386,0.000080090
2018-04-15 04-AM,0.04472,0.002001,0.06334,0.01584,0.02384,0.000079850
2018-04-15 03-AM,0.04508,0.001997,0.06326,0.01575,0.02397,0.000080120
2018-04-15 02-AM,0.04489,0.002006,0.06395,0.01579,0.02378,0.000080660
2018-04-15 01-AM,0.04495,0.002003,0.06307,0.01579,0.0238,0.000080200
2018-04-15 12-AM,0.04472,0.002001,0.06289,0.0158,0.0238,0.000079940
2018-04-14 11-PM,0.0446,0.002006,0.06299,0.01578,0.0239,0.000080060
2018-04-14 10-PM,0.0446,0.002016,0.06287,0.01584,0.0239,0.000080680
2018-04-14 09-PM,0.0446,0.00202,0.06298,0.01588,0.02386,0.000080600
2018-04-14 08-PM,0.04452,0.002006,0.06281,0.01586,0.02385,0.000080000
2018-04-14 07-PM,0.04451,0.002009,0.06235,0.01579,0.02388,0.000079870
2018-04-14 06-PM,0.04461,0.002007,0.0621,0.01578,0.02384,0.000079520
2018-04-14 05-PM,0.04477,0.002001,0.06214,0.01579,0.02384,0.000079710
2018-04-14 04-PM,0.04481,0.001994,0.06196,0.01583,0.02379,0.000079680
2018-04-14 03-PM,0.045,0.001994,0.0618,0.0158,0.0238,0.000079260
2018-04-14 02-PM,0.04481,0.001994,0.06203,0.0158,0.02382,0.000079620
2018-04-14 01-PM,0.0451,0.001992,0.06199,0.0158,0.02394,0.000079450
2018-04-14 12-PM,0.04554,0.001995,0.06215,0.01587,0.02402,0.000080090
2018-04-14 11-AM,0.04573,0.001994,0.06217,0.01582,0.02391,0.000080310
2018-04-14 10-AM,0.04627,0.002004,0.06273,0.01589,0.02393,0.000080860
2018-04-14 09-AM,0.04608,0.001997,0.06273,0.01589,0.02424,0.000081270
2018-04-14 08-AM,0.04561,0.00201,0.06287,0.01585,0.0242,0.000081980
2018-04-14 07-AM,0.04519,0.002,0.06285,0.0159,0.02405,0.000080790
2018-04-14 06-AM,0.04552,0.001986,0.0628,0.01579,0.02411,0.000080590
2018-04-14 05-AM,0.04552,0.001989,0.06281,0.0158,0.02415,0.000080510
2018-04-14 04-AM,0.04528,0.002006,0.06314,0.01587,0.02416,0.000081400
2018-04-14 03-AM,0.0452,0.002001,0.06336,0.01587,0.02399,0.000081370
2018-04-14 02-AM,0.04525,0.002004,0.06289,0.01585,0.02398,0.000081890
2018-04-14 01-AM,0.04455,0.001998,0.06248,0.01593,0.02394,0.000081150
2018-04-14 12-AM,0.04483,0.00199,0.06266,0.01593,0.02388,0.000081290
2018-04-13 11-PM,0.04487,0.001998,0.06277,0.01593,0.02392,0.000081900
2018-04-13 10-PM,0.04572,0.002005,0.06223,0.01601,0.02392,0.000081250
2018-04-13 09-PM,0.04568,0.002014,0.06239,0.01604,0.02399,0.000082430
2018-04-13 08-PM,0.046,0.002038,0.0631,0.01619,0.02417,0.000085260
2018-04-13 07-PM,0.04579,0.00204,0.06348,0.01622,0.02427,0.000086170
2018-04-13 06-PM,0.04591,0.00204,0.06337,0.0163,0.02423,0.000085290
2018-04-13 05-PM,0.04639,0.002037,0.06375,0.01626,0.02448,0.000087010
2018-04-13 04-PM,0.04603,0.00202,0.06356,0.01613,0.02452,0.000084590
2018-04-13 03-PM,0.04655,0.002026,0.06338,0.0161,0.02432,0.000083000
2018-04-13 02-PM,0.04669,0.002031,0.06408,0.01621,0.02426,0.000083400
2018-04-13 01-PM,0.0475,0.002041,0.06441,0.01628,0.02456,0.000083880
2018-04-13 12-PM,0.0477,0.002042,0.06396,0.01625,0.0243,0.000080200
2018-04-13 11-AM,0.04731,0.002017,0.06371,0.01607,0.02423,0.000080400
